CÔNG TY CP XÂY DỰNG NGÔ QUYỀN ,,,,,,,,,,,,,,,,,,,,
Số 149-Hai Bà Trưng-Lê Chân - HP,,,,,,,,,,,,,,,,,,,,
BẢNG CÂN ĐỐI VẬT TƯ,,,,,,,,,,,,,,,,,,,,
Công trình: Trường mầm non Trại chuối,,,,,,,,,,,,,,,,,,,,
"HM: Kết cấu khối nhà xây mới +Kiến trúc khối nhà xây mới+ Hạ tầng kỹ thuật ngoài nhà +Bể nước ngâm, bể phốt, bể tách mỡ",,,,,,,,,,,,,,,,,,,,
STT,Tên vật tư ,ĐV,Dự Toán,,,Hoá đơn ,,,Còn phải nhập ,,,Số HĐ,,,,,,,,
,,,SL,ĐG,TT,SL,ĐG,TT,SL,ĐG,TT,,,,,,,,,
I,Vật liệu,,,,,,,,,,,,,,,,,,,
7,"Nhân công 4,0/7 - Nhóm 2",công,"2,062.95","313,200","646,115,126",,,,"2,062.95","313,200","646,115,126",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Cộng nhân công,,,,"2,134,640,427",,,"416,607,407",,,"  2,134,640,427 ",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
IV,Máy thi công ,,,,,,,,,,,,,,,"  2,025,000.00 ",,,,
1,Bê tông bọt chống nóng mái M75,m3,46.40,"50,000","2,320,130",,,,  46.40 ,"  50,000 ","  2,320,130 ",,,,,,,,,
,Cần cẩu bánh hơi 6T,ca,3.22,"1,661,396","5,349,695",,,,  3.22 ,"  1,661,396 ","  5,349,695 ",,,,,,,,,
2,Cần cẩu bánh hơi 16T,ca,1.14,"2,093,724","2,388,102",,,,  1.14 ,"  2,093,724 ","  2,388,102 ",,,,,,,,,
3,Cần cẩu bánh xích 10T,ca,66.85,"2,081,411","139,140,244",,,,66.06,"2,081,411","137,494,472",,,,,,,,,
4,"Cần trục tháp - sức nâng : 25,0 T",ca,7.805,"3,108,408","24,259,881",,,,7.410,"3,108,408","23,032,487",,,,,  33.00 ,,,,
5,Máy bơm bê tông 40 - 60 m3/h,ca,12.8048,"2,326,646","29,792,237",,,,10.8048,"2,685,185","14,516,773",,,,,,,,,
,Bơm bê tông ,ca,,,,1,"  2,407,407.4 ","  2,407,407.4 ",,,,  508 ,,,,,,,,
,Bơm bê tông ,m3,,,,87.5,"  60,185.19 ","  5,266,204 ",,,,  508 ,,,,,,,,
,Bơm bê tông ,ca,,,,1,"  2,685,185.18 ","  2,685,185 ",,,,  169 ,,,,,,,,
,Bơm bê tông ,m3,,,,74,"  60,185.19 ","  4,453,704 ",,,,  169 ,,,,,,,,
,Bù cước vận chuyển,chuyến,,,,1,"  462,963.00 ","  462,963 ",,,,  169 ,,,,,,,,
,"Máy cắt gạch đá - công suất : 1,7 kW",ca,175.954116,"27,917","4,912,111",,,,,,"-694,798",,,,,,,,,
